iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,26204,-3.4338413808684644e-06,1637.75,0.03806222137063742,0.04657184612005949,0.00134951900690794,0.9184385240077972,0.07199097122065723,0.408203125,0.8652771860361099,0.02288762795894141,0.9999999999999852,-2.2887627958941075e-06,110.92472195625305,0.02288762795894141,0,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
2,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,29308,-3.6886864830941042e-06,1831.75,-0.007036312042515716,0.0020146111735196617,0.000159012411492398,0.9130429600857181,0.001730364788039162,0.07849717296324579,0.2237279741977253,0.022746447134426022,0.9999999999999851,-2.274644713442568e-06,119.19462084770203,0.022746447134426022,0,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
3,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,26587,-3.7957961826754335e-06,1661.6875,-0.008140612930665671,0.0009084304491124222,7.856532550180898e-05,0.9088326245546341,0.0009194976862245141,0.043608285489443795,0.15152434421316632,0.02206979810747634,0.9999999999999857,-2.2069798107476027e-06,116.98417520523071,0.02206979810747634,0,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
4,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,26638,-4.053586869516636e-06,1664.875,-0.008752920300225323,0.00026508854112114927,3.442466127147404e-05,0.9035221373416343,0.0005219834209116729,0.033710337427383254,0.13035773860185212,0.021108474110187906,0.9999999999999852,-2.11084741101876e-06,120.45453715324402,0.021108474110187906,0,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
5,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,21304,-4.314482873644615e-06,1331.5,-0.00888307046677385,0.00012581348368625878,3.9207455984069384e-05,0.9028487861866042,0.0006242120115288093,0.038478964454649635,0.13913395860609376,0.022133639845328304,0.9999999999999853,-2.2133639845327986e-06,119.03258919715881,0.021108474110187906,1,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
6,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,28688,-3.5242938349286773e-06,1793.0,-0.009250769253795673,-0.00019949600856275458,2.2750087563700188e-05,0.9062648469157386,0.0008048361360882458,0.0299705796167377,0.11779557425822866,0.022372271426076146,0.9999999999999849,-2.2372271426075817e-06,122.07949185371399,0.021108474110187906,2,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
7,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,28342,-3.8139079806074155e-06,1771.375,-0.009077450126434477,-4.724212691645643e-06,2.491233294575425e-05,0.9085182266842041,0.0007394597687420758,0.03301758443454413,0.12107478570708606,0.021799319833493095,0.9999999999999857,-2.1799319833492784e-06,123.70110607147217,0.021108474110187906,3,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
8,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,26622,-3.5901618949468753e-06,1663.875,-0.009858583326381192,-0.0007689839458394863,1.0887963014738489e-05,0.9095043545623995,0.0008751734596963392,0.03419719498279452,0.11181624233722687,0.022949161736999638,0.9999999999999855,-2.294916173699931e-06,116.9759590625763,0.021108474110187906,4,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
9,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,32225,-3.3944640781732477e-06,2014.0625,-0.00932182715041563,-0.00023292562560328633,1.1118410291111047e-05,0.9094460916239768,0.0006042613459058543,0.02906452096067369,0.11528677918977337,0.022173846215823446,0.9999999999999861,-2.217384621582314e-06,123.86492490768433,0.021108474110187906,5,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
10,BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed3,BTC,31388,-3.5564136013039146e-06,1961.75,-0.009705321258685042,-0.0006166365598293425,1.176675576450561e-05,0.9094568281885116,0.0010657508138988746,0.0349887481298215,0.11033553604577337,0.021934449319266695,0.9999999999999857,-2.1934449319266385e-06,121.20585179328918,0.021108474110187906,6,0.001,0.1,0.5,0.01,0.5,0.99,0.9,32,16,8,16,0.02,3,999,4320,buy,50.0,0.25,0.05,0.0
