iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,26808,-3.542729157819101e-06,1675.5,0.05902076233178377,0.06338036246597767,0.00047517678467556834,0.9194384813308716,0.04556203563697636,0.4072265625,0.926079273223877,0.022884366127746497,0.9999999999999852,-2.2884366127746157e-06,111.24437999725342,0.022884366127746497,0,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
2,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,24431,-4.1392252804303464e-06,1526.9375,-0.002454258868594331,0.0019352134914263806,0.00045683325385782937,0.9235778177271083,0.0020222045422811715,0.08519034669021791,0.20884561048326444,0.02274953176859161,0.9999999999999853,-2.274953176859128e-06,113.93118906021118,0.02274953176859161,0,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
3,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,25764,-6.453940895363168e-06,1610.25,-0.004407960764022873,0.00022570363480732412,3.094165042422865e-05,0.9298270715802324,0.0005600519656870852,0.03139969447454182,0.12175553194338493,0.022073597463505498,0.9999999999999861,-2.207359746350519e-06,113.7356538772583,0.022073597463505498,0,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
4,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,26510,-3.859727722199798e-06,1656.875,-0.004379711827737684,0.0002820773032273689,1.69338192130076e-05,0.9340512299875043,0.0007275052152704549,0.02508204703368598,0.10496617818497261,0.021113389949335364,0.9999999999999858,-2.1113389949335068e-06,117.47654414176941,0.021113389949335364,0,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
5,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,36383,-2.191767648794418e-06,2273.9375,-0.004499661982764438,0.00014425191440321013,1.346876669059169e-05,0.9301296785059903,0.0006203893639293609,0.0219151343141372,0.1028757684592468,0.02213608213484073,0.9999999999999855,-2.2136082134840415e-06,124.84397196769714,0.021113389949335364,1,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
6,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,28518,-4.12238185595991e-06,1782.375,-0.003931545656533879,0.000735741004004266,2.136727444996978e-05,0.9355940803101188,0.0005693154077286238,0.02149344790163205,0.10651470295954168,0.022376746900404955,0.9999999999999857,-2.2376746900404633e-06,119.24766087532043,0.021113389949335364,2,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
7,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,24334,-5.1475346235624606e-06,1520.875,-0.004382999870469984,0.00026636527745351336,1.6225330999852342e-05,0.9314955874365203,0.0010642270624824663,0.031983387957051475,0.10755270790802884,0.021799646708511564,0.9999999999999852,-2.179964670851124e-06,118.82320618629456,0.021113389949335364,3,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
8,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,31577,-3.235474858261263e-06,1973.5625,-0.004497271223318955,0.00016861441300924134,1.1687129780771752e-05,0.9343458579646217,0.0005248643677092217,0.027962344848284765,0.10448802089584726,0.022946433965293486,0.9999999999999855,-2.294643396529315e-06,116.8327579498291,0.021113389949335364,4,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
9,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,32073,-4.479449869094192e-06,2004.5625,-0.00460906175612763,4.657959332377004e-05,1.204893367656723e-05,0.9323331865016371,0.0006664468843666782,0.028962184213924047,0.10128317875933135,0.022172364157550126,0.9999999999999858,-2.21723641575498e-06,121.46603989601135,0.021113389949335364,5,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
10,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,25737,-2.90639366460166e-06,1608.5625,-0.004581362252151046,9.451367150533912e-05,2.0718100365550473e-05,0.9372470177271787,0.0010147784420893253,0.024276541871265236,0.10143007517920113,0.021943559117483673,0.9999999999999855,-2.1943559117483358e-06,115.08357405662537,0.021113389949335364,6,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
11,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,30760,-3.6515159686886497e-06,1922.5,-0.004703276629414653,-1.589319760912121e-05,1.21943599379683e-05,0.9386961433242579,0.0004089261194584666,0.022892092032067966,0.09371942603869028,0.022211909714503885,0.9999999999999853,-2.2211909714503564e-06,122.92772507667542,0.021113389949335364,7,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
12,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,32654,-5.235735249174627e-06,2040.875,-0.004660938535996068,6.062672134878365e-05,1.2279953347597957e-05,0.9455410714332874,0.00047656444375416656,0.019018028752627567,0.10030130103517038,0.020995607484188307,0.9999999999999852,-2.0995607484187995e-06,125.02932286262512,0.020995607484188307,0,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
13,BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,25157,-3.406158254491787e-06,1572.3125,-0.00461292848456651,7.7980999013878e-05,1.7005250879265076e-05,0.9398824447393417,0.0007409357746016454,0.03265095304464921,0.10215245559811592,0.02153562231026634,0.9999999999999855,-2.153562231026603e-06,117.44634175300598,0.020995607484188307,1,0.001,0.1,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
