iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,26808,-3.542729157819101e-06,1675.5,0.06361795382690616,0.06338036246597767,0.00047517678467556834,0.9194384515285492,0.04556204681284726,0.4072265625,0.9259652346372604,0.022884366436378763,0.9999999999999852,-2.2884366436378417e-06,111.82143807411194,0.022884366436378763,0,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
2,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,24431,-4.1392272108586885e-06,1526.9375,0.0008860795221561584,0.0007473281337399607,0.0002775027728695969,0.9218992423646304,0.0017773808846812949,0.06719775666596786,0.17177095042769702,0.02274703857880211,0.9999999999999858,-2.274703857880178e-06,116.56761431694031,0.02274703857880211,0,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
3,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,25784,-6.453917940621538e-06,1611.5,0.00037566622439704124,0.0003608755316289556,2.9581388795193953e-05,0.9187912840177032,0.0007381936437718204,0.034092531506971946,0.12367075707252119,0.022069962405142526,0.9999999999999853,-2.2069962405142207e-06,116.55374479293823,0.022069962405142526,0,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
4,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,26541,-3.857715385701801e-06,1658.8125,0.00020492039471560448,0.00019617077549693575,1.7499229909819132e-05,0.9123893069489947,0.0008344685104153034,0.03378996446087324,0.11672272049505615,0.021113224674617515,0.9999999999999855,-2.1113224674617205e-06,120.74158000946045,0.021113224674617515,0,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
5,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,36432,-2.193573803770039e-06,2277.0,-8.233986718093117e-05,-8.799676575992837e-05,1.1313796340080747e-05,0.9062648514906565,0.0006979841958872789,0.027438458265452128,0.11063735329015698,0.022135876602478954,0.9999999999999855,-2.2135876602478634e-06,128.49249982833862,0.021113224674617515,1,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
6,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,28521,-4.1258692346930396e-06,1782.5625,-0.000470613968062887,-0.0004775058531908814,1.378377480695267e-05,0.9013201939432245,0.0007114562205123619,0.023991392490355985,0.09842363294834892,0.022372455352937165,0.9999999999999855,-2.2372455352936846e-06,121.46787977218628,0.021113224674617515,2,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
7,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,24391,-5.152458203870422e-06,1524.4375,-0.0004886623121225911,-0.0004984626427985977,1.960065526766496e-05,0.8957004364655943,0.0009308850751460416,0.03966898240959177,0.11702164234973643,0.02179049811540035,0.9999999999999855,-2.179049811540003e-06,121.36685013771057,0.021113224674617515,3,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
8,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,31583,-3.235539047554823e-06,1973.9375,-0.0004633720715859786,-0.00047226785394135123,1.779156926453479e-05,0.8937541609482159,0.0012079945240567025,0.03591620400991468,0.11289643008069741,0.022942421613322685,0.9999999999999852,-2.2942421613322355e-06,119.81965589523315,0.021113224674617515,4,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
9,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,32097,-4.491499723977042e-06,2006.0625,-0.0007208797123414712,-0.0007354959403080841,2.923246078090358e-05,0.9010112162213773,0.0011402948945375968,0.04376848998526839,0.11535108648968162,0.022172436527158553,0.9999999999999861,-2.217243652715824e-06,123.19638109207153,0.021113224674617515,5,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
10,BTC_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.999_lam0.95_seed1,BTC,25739,-2.906361777438505e-06,1608.6875,-0.0012567953560445697,-0.0012766209085973113,3.965109928293375e-05,0.9011204007501695,0.0012952023568220683,0.04834877259746267,0.11970705079718255,0.0219424283682348,0.9999999999999861,-2.194242836823449e-06,118.5173270702362,0.021113224674617515,6,0.001,0.1,0.5,0.0,0.5,0.999,0.95,32,16,8,16,0.02,1,999,4320,buy,50.0,0.25,0.05,0.0
