run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,0.020794515203254153,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2.csv,16,32,0.2,0.005,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2,0.02079559243893176,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.95_seed2.csv,16,32,0.2,0.01,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.020823433835379525,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed2,0.020829402125501106,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.995_lam0.9_seed2.csv,16,32,0.2,0.005,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed2,0.020829723922664734,checkpoints/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B1_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed2.csv,16,32,0.2,0.01,0.995,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,0.020833991487961327,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.99_lam0.9_seed2.csv,16,32,0.1,0.01,0.99,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2,0.020834032754992668,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.9_seed2.csv,16,32,0.1,0.01,0.995,4320,0.9,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.020835531807470123,checkpoints/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B2_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.02084136006130525,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed2,0.02084385190675269,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.95_seed2.csv,16,32,0.2,0.005,0.99,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
