run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
BTC_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.020823433835379525,checkpoints/BTC/BTC_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.020835531807470123,checkpoints/BTC/BTC_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.02084136006130525,checkpoints/BTC/BTC_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2,0.020842164038154313,checkpoints/BTC/BTC_lr0.001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,4,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1,0.020844673195794198,checkpoints/BTC/BTC_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,4,16,1,buy,0.0,50.0,999
BTC_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2,0.020844820339493104,checkpoints/BTC/BTC_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,4,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2,0.020846435181891772,checkpoints/BTC/BTC_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.01,0.999,4320,0.95,0.001,0.25,20,0.05,4,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.2_ent0_ep4_bs16_cl32_gamma0.999_lam0.95_seed2,0.02084842025079282,checkpoints/BTC/BTC_lr0.001_clip0.2_ent0_ep4_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.2_ent0_ep4_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.2,0.0,0.999,4320,0.95,0.001,0.25,20,0.05,4,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2,0.02084853494632374,checkpoints/BTC/BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.1_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,4,16,2,buy,0.0,50.0,999
BTC_lr0.001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2,0.020851004869793344,checkpoints/BTC/BTC_lr0.001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2/best.weights.h5,logs/BTC/BTC_lr0.001_clip0.1_ent0.005_ep8_bs16_cl32_gamma0.999_lam0.95_seed2.csv,16,32,0.1,0.005,0.999,4320,0.95,0.001,0.25,20,0.05,8,16,2,buy,0.0,50.0,999
