iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,24947,-8.174658855981907e-05,1559.1875,0.017032000701874495,0.015726342797279358,0.02099308744072914,0.9190884828567505,0.02521372924093157,0.1533203125,2.179095208644867,0.843529087615406,0.9999999999999999,-8.435290876154081e-05,154.29341912269592,0.843529087615406,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
2,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,25742,-7.72583889380918e-05,1608.875,-0.005393542386250707,0.0018096180051875219,0.003907721547165704,0.9157021274653877,0.00448969086617177,0.0689178912406333,1.3105225344983542,0.8187651248734804,1.0,-8.18765124873482e-05,156.23870515823364,0.8187651248734804,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
3,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,26020,-7.311030994128781e-05,1626.25,-0.005978497331414152,0.0024390343331106125,0.001451991089647088,0.9143527346498826,0.004856558642838054,0.05622089282773873,1.6559198191937279,0.8369318554352415,1.0,-8.36931855435243e-05,151.55326390266418,0.8187651248734804,1,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
4,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,28652,-7.782695928174007e-05,1790.75,-0.007471739488343398,0.0011196625861339272,0.0010738535904480765,0.9128329054514567,0.005198927300079958,0.05683679092054566,0.9869028295079867,0.8253249186071809,0.9999999999999999,-8.253249186071827e-05,156.16932106018066,0.8187651248734804,2,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,24556,-7.446686416758828e-05,1534.75,-0.0076668036992552585,0.0009671998870200352,0.0009363360384684727,0.9102171804453876,0.002929069709582338,0.03650535085565738,0.7204949666519422,0.8097438216295058,0.9999999999999999,-8.097438216295081e-05,151.49672675132751,0.8097438216295058,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
6,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,27396,-7.678429582000547e-05,1712.25,-0.007501869589193828,0.0011752187158620092,0.0008506622768537555,0.9102419611480501,0.004141368574608221,0.05209898792155501,0.7520353448887666,0.8259944049163249,1.0000000000000002,-8.259944049163266e-05,157.3249979019165,0.8097438216295058,1,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
7,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,26149,-7.237858796878716e-05,1634.3125,-0.008291789715608152,0.00044883768263249437,0.000729872442976697,0.9105563828578362,0.003934095503259764,0.04875383289114465,0.7322564703197434,0.8280095577543511,1.0,-8.280095577543528e-05,155.18591594696045,0.8097438216295058,2,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
8,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,26345,-7.718059678993004e-05,1646.5625,-0.008760259949539337,0.0001395959677596068,0.0004520492549297154,0.9125880694096805,0.003576611292161825,0.04018734152103129,0.6781445572529834,0.8260681727167807,1.0,-8.260681727167825e-05,153.28818202018738,0.8097438216295058,3,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
9,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,24965,-7.999920392034984e-05,1560.3125,-0.00905299538280815,-6.362391117363586e-05,0.0003825855627655983,0.9180664497613907,0.003568026929087864,0.03822168309707195,0.5327432105690241,0.8215011320394983,1.0000000000000002,-8.215011320395002e-05,158.2722339630127,0.8097438216295058,4,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
10,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,26656,-7.290425250276528e-05,1666.0,-0.009212409012142639,-0.00018200233750334055,0.0003025610671411071,0.9181687424205384,0.0021523496162564764,0.02340743484476335,0.4609335708379183,0.7984615175786459,0.9999999999999999,-7.984615175786476e-05,155.777596950531,0.7984615175786459,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
11,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,25358,-8.088406318813542e-05,1584.875,-0.008845757720444132,0.0001508125513050889,0.00025026858713995444,0.9121704738514096,0.0030918014384523677,0.03301767794661881,0.45497963204979897,0.827512573326268,1.0,-8.275125733262695e-05,160.17805075645447,0.7984615175786459,1,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
12,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,26896,-7.792301410478451e-05,1681.0,-0.00887139982166085,0.00011402413645315255,0.0002052464555643657,0.9088047377343448,0.002925481441158105,0.028675941977746575,0.5726193081376687,0.8159800147686583,1.0,-8.1598001476866e-05,162.98323488235474,0.7984615175786459,2,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
13,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,27442,-7.61296310088079e-05,1715.125,-0.008631157788278705,0.0003088785532728783,0.0002079153750938448,0.9043994231657548,0.0029754560856975385,0.0302809142422947,0.6454498131844131,0.8200632073158423,0.9999999999999997,-8.200632073158437e-05,161.95688223838806,0.7984615175786459,3,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
14,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,27718,-7.60031490425581e-05,1732.375,-0.009033214398236438,-0.00011454978931314228,0.00017450094449238598,0.9005915224552155,0.0024280218478286934,0.02542168189644475,0.8035062536258589,0.8310746594419061,1.0,-8.310746594419081e-05,159.41830134391785,0.7984615175786459,4,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
15,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,25632,-6.779082625994967e-05,1602.0,-0.008836759678909884,1.5170772316503858e-05,0.00014235185132266078,0.8923106517861871,0.003317283146438571,0.029760884670038505,0.526556122390663,0.8259886016439596,1.0,-8.259886016439612e-05,156.68001198768616,0.7984615175786459,5,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
16,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,26655,-7.371467859761035e-05,1665.9375,-0.00916625420290555,-0.0003101223665341748,0.00013024130477685313,0.8921252669028517,0.0024699100544720116,0.024985578405354522,0.7516626943394823,0.80982975623388,0.9999999999999999,-8.098297562338818e-05,155.64256072044373,0.7984615175786459,6,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
17,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed3_H4320_Q3e+06_pov0.1_fee0,DOGE,25081,-7.64971285997969e-05,1567.5625,-0.00848220881074667,0.00036851392542303074,0.00014304085094408948,0.8922243356704712,0.0028231670895183924,0.028702048803679645,0.8164369535818696,0.8428410766984951,1.0,-8.428410766984973e-05,155.0060679912567,0.7984615175786459,7,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,16,0.02,3,999,4320,buy,3000000.0,3500.0,0.1,0.0
