iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26872,-8.486657434369947e-05,1679.5,0.005079757381121025,0.00660007748999359,0.006151308086426819,0.919194824555341,0.009801405673737036,0.09316989297375959,1.8262438037816215,0.8434714048422751,1.0,-8.434714048422772e-05,155.2496988773346,0.8434714048422751,0,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
2,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,29169,-7.261008653984918e-05,1823.0625,-0.002350605204125887,0.0014285708748502657,0.0016518359738297425,0.9210188365384434,0.004507928923098763,0.059443913180422914,1.2513976684781942,0.8187023258861977,1.0,-8.187023258861994e-05,159.04225420951843,0.8187023258861977,0,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
3,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26745,-6.975212208743987e-05,1671.5625,-0.002917673224099464,0.001244935098213035,0.0009368367951632441,0.9262053664628561,0.0059382562968175396,0.05452737658490221,1.3442364031231249,0.836860994031953,1.0,-8.368609940319543e-05,151.17066383361816,0.8187023258861977,1,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
4,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,27300,-8.596608582372115e-05,1706.25,-0.00439254795761641,5.459751055578063e-05,0.0003997089367691876,0.9294000091376128,0.0038485535430178666,0.04242444117941583,0.8406968743850788,0.8252158976492551,1.0,-8.252158976492566e-05,157.9928879737854,0.8187023258861977,2,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
5,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,23678,-6.727048481694546e-05,1479.875,-0.003853746331940861,0.0006272507959712381,0.0003047517438585117,0.9266746259750204,0.002886411650329234,0.03400207057773592,0.6727031070659769,0.8096397030414718,0.9999999999999997,-8.09639703041474e-05,152.81506490707397,0.8096397030414718,0,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
6,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,26159,-8.619279736100825e-05,1634.9375,-0.00458546179064657,-9.793331520760237e-05,0.000266422535577686,0.9241479704013238,0.0037884186008612097,0.029994725994094133,0.7633557612291322,0.8258859368899562,1.0,-8.25885936889958e-05,158.14105105400085,0.8096397030414718,1,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
7,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,28746,-7.590711091665797e-05,1796.625,-0.0039045735295012334,0.0006174385121873144,0.0002271519721321774,0.9271176274408374,0.0034755218811721215,0.037410881701170615,1.076847662070864,0.827890762302469,0.9999999999999999,-8.278907623024707e-05,158.09513401985168,0.8096397030414718,2,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
8,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,27348,-8.042393615660979e-05,1709.25,-0.0044172198535374334,8.783539824771988e-05,0.0002510876847231379,0.9261198352884363,0.0037306713741903272,0.040472081942156096,0.900003764157494,0.825971809907044,1.0,-8.259718099070456e-05,155.08245611190796,0.8096397030414718,3,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
9,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,25129,-8.257081685530314e-05,1570.5625,-0.005288083179621026,-0.0007354179953836138,0.00014994944935097009,0.9255280059576034,0.0034069283258577345,0.027151951279956846,1.0450637007504702,0.8213803866787168,1.0000000000000002,-8.213803866787187e-05,156.0044641494751,0.8096397030414718,4,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
10,DOGE_lr0.0003_clip0.2_ent0.005_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,DOGE,25612,-7.79432152842109e-05,1600.75,-0.00511308391258924,-0.0005829976618110331,0.0001633761008348551,0.92235488225432,0.0027494287676424443,0.031510563333308796,0.9903023933224818,0.7983410061687636,0.9999999999999999,-7.983410061687655e-05,153.82338190078735,0.7983410061687636,0,0.0003,0.2,0.5,0.005,0.5,0.999,0.95,32,16,4,16,0.02,1,999,4320,buy,3000000.0,3500.0,0.1,0.0
