iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,18049,-6.448494596719738e-05,70.50390625,0.005881551155183403,0.004091544771017885,0.0035800128320620937,0.9163645257006635,0.007419926802765582,0.07924074137194471,1.303248799436695,0.7558302661043075,1.0,-7.558302661043075e-05,21.573482990264893,0.7558302661043075,0,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
2,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,18324,-6.288972128146538e-05,71.578125,-1.9692865148484737e-05,-0.00016117182859483475,0.00028295791506481355,0.9159819588599065,0.00419889682545749,0.04606045438704788,1.2400053450261344,0.7089460735506676,1.0,-7.089460735506677e-05,23.607685089111328,0.7089460735506676,0,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
3,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,18033,-6.699517883933465e-05,70.44140625,-0.00038007746957746127,-0.0004889830772273801,0.00021781122093049882,0.9086817644718217,0.003867314051980788,0.045036394493342034,1.058697647574108,0.7513518107886634,1.0,-7.513518107886634e-05,23.604490041732788,0.7089460735506676,1,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
4,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,18264,-6.907508709178312e-05,71.34375,-0.0002736485838843923,-0.0003924711071046267,0.0002376450179730261,0.9016087799382633,0.004194173781933837,0.043379302917753715,0.775365058553113,0.7287716237711541,1.0,-7.28771623771154e-05,23.77770209312439,0.7089460735506676,2,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
5,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,17656,-6.740696053194356e-05,68.96875,-0.0016243831007138165,-0.0017728520435911558,0.0002969378833450867,0.9009084223314773,0.003162983067000931,0.04327020785895848,0.9419392829024514,0.7234175303322562,1.0,-7.234175303322558e-05,23.645071029663086,0.7089460735506676,3,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
6,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,17779,-6.915296550288339e-05,69.44921875,-0.0015044448129276956,-0.0015914449566939467,0.00017400029719816766,0.8940363605001456,0.0025681068562087004,0.034027236584120615,0.9452566415333677,0.7016524041410745,1.0,-7.016524041410746e-05,23.785073041915894,0.7016524041410745,0,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
7,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,17587,-6.78739566922541e-05,68.69921875,-0.00202581992107298,-0.002117788116672618,0.00018393639548877318,0.8747157994243834,0.004350448814225621,0.03990625754360937,0.8210066527128219,0.7354795260164735,1.0,-7.354795260164734e-05,23.93982195854187,0.7016524041410745,1,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
8,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,18032,-6.708928560362213e-05,70.4375,-0.0006999264911024107,-0.0007570417623976157,0.00011423054992418556,0.8689950091971291,0.002412990318311755,0.03252729113511224,0.9789783566362328,0.7180015746168771,1.0,-7.18001574616877e-05,23.963486909866333,0.7016524041410745,2,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
9,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,17825,-6.902755709806447e-05,69.62890625,-0.0024583334061598983,-0.0025282256827452903,0.00013978455560924164,0.8658102949460348,0.0039124422155050465,0.042792965773086264,0.9651885613285262,0.7150458973077716,1.0,-7.150458973077714e-05,23.257999658584595,0.7016524041410745,3,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
10,DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,DOGE,17491,-6.710726879439494e-05,68.32421875,-0.002126048653630024,-0.002205889791790935,0.00015968229183991478,0.8616633429083713,0.004028978377402117,0.04642856355653643,1.0628900998813469,0.7058944963437085,1.0,-7.058944963437084e-05,23.304945945739746,0.7016524041410745,4,0.0003,0.2,0.5,0.0,0.5,0.995,0.95,32,16,8,256,0.02,1,999,180,buy,20000.0,2000.0,0.1,0.0
