iter,run_name,symbol,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,rollout_episodes,target_kl,seed,val_seed,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,16678,-6.368608566366148e-05,65.1484375,0.08921765815466642,0.05855858248191215,0.15326199680566788,0.9194384813308716,0.06853784299659416,0.3456464409828186,4.2404175996780396,0.7571251306769449,1.0,-7.571251306769447e-05,19.680333137512207,0.7571251306769449,0,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
2,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,16940,-6.642228547820724e-05,66.171875,0.034516237676143646,0.0719466306179406,0.017239435110241175,0.9210022687911987,0.13680738006011506,0.4267352223396301,1.4662532210350037,0.7144227181773082,1.0,-7.144227181773081e-05,17.992684841156006,0.7144227181773082,0,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
3,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,14213,-6.739169075404197e-05,55.51953125,-0.010683378204703331,0.02735840604835671,0.016186601715162396,0.9227016866207123,0.02208950721355052,0.30813953280448914,1.2743755280971527,0.7543571446488923,1.0,-7.543571446488923e-05,17.41921901702881,0.7144227181773082,1,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
4,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,16241,-6.86457904757588e-05,63.44140625,-0.03475958210765384,0.009315152817011285,0.005499815570146893,0.9364928426221013,0.006782078967625754,0.2162317115580663,1.3346531549468637,0.7312508328231371,1.0,-7.31250832823137e-05,19.476531982421875,0.7144227181773082,2,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
5,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,16795,-6.833937560867285e-05,65.60546875,-0.033953028354556006,0.012813161674479545,0.0010913398489603733,0.9462371912408383,0.008489334853320851,0.2651104998398334,1.003955955835099,0.7264831159077609,1.0,-7.264831159077608e-05,18.78619408607483,0.7144227181773082,3,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
6,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15761,-6.937732759924267e-05,61.56640625,-0.04348761003975775,0.004986020236739787,0.00035029052506776196,0.9729754918930578,0.004778085102065318,0.1567825164792,0.9425227301670056,0.7050457722772492,1.0,-7.050457722772493e-05,19.42928910255432,0.7050457722772492,0,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
7,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15674,-6.508784903921397e-05,61.2265625,-0.04620457805328436,0.003476158623372703,0.00015095689380175103,0.9951242867049638,0.003098438224809682,0.12883484268469828,0.9471468748329402,0.738356272215228,1.0,-7.38356272215228e-05,19.51081395149231,0.7050457722772492,1,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
8,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15512,-6.24536648830124e-05,60.59375,-0.04714931979302376,0.003945463870621149,0.00016592406089850037,1.023554902228098,0.004504772931442162,0.15467154147798226,1.1868559939284173,0.7207285585649165,1.0,-7.207285585649163e-05,19.48201322555542,0.7050457722772492,2,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
9,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15761,-6.938670717387431e-05,61.56640625,-0.046953179843483434,0.005471297270831209,0.00010202869581858508,1.0495098175541047,0.004095820005965154,0.1633014937810179,1.6867840733499295,0.7183276673838023,1.0,-7.183276673838022e-05,19.630820989608765,0.7050457722772492,3,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
10,DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed3,DOGE,15027,-6.633382218188397e-05,58.69921875,-0.05159521318439927,0.0017501419673663446,8.150058056344278e-05,1.0677220940589904,0.0025713230637761874,0.09909839435879673,1.2554835351450102,0.7098233806142707,1.0,-7.098233806142707e-05,18.998545169830322,0.7050457722772492,4,0.001,0.1,0.5,0.05,0.5,0.995,0.97,32,16,4,256,0.02,3,999,180,buy,20000.0,2000.0,0.1,0.0
