run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
DOGE_lr0.001_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.6931417837305301,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.0,0.995,180,0.95,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.6941642524732359,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.01,0.995,180,0.95,0.001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.6945677094642485,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.01,0.995,180,0.95,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.6981737031714513,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.0,0.995,180,0.95,0.001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.699507289558709,checkpoints/DOGE/DOGE_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.01,0.995,180,0.95,0.0003,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.6999463561766689,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.0,0.995,180,0.95,0.0003,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7000450592125076,checkpoints/DOGE/DOGE_lr0.0001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.01,0.995,180,0.95,0.0001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7001071727020942,checkpoints/DOGE/DOGE_lr0.0001_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.0,0.995,180,0.95,0.0001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7002069638853748,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.0,0.995,180,0.95,0.0003,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7003182694586343,checkpoints/DOGE/DOGE_lr0.0003_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.0,0.995,180,0.95,0.0003,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7005415348065306,checkpoints/DOGE/DOGE_lr0.0001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.01,0.995,180,0.95,0.0001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7006959378618188,checkpoints/DOGE/DOGE_lr0.0001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.01,0.995,180,0.95,0.0001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7009182900225955,checkpoints/DOGE/DOGE_lr0.0001_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.0,0.995,180,0.95,0.0001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7011347921106548,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.01,0.995,180,0.95,0.0003,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7012650988119298,checkpoints/DOGE/DOGE_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.01,0.995,180,0.95,0.0003,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7012919059074656,checkpoints/DOGE/DOGE_lr0.0001_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.1_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.0,0.995,180,0.95,0.0001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7013784483178769,checkpoints/DOGE/DOGE_lr0.0001_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.1_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.0,0.995,180,0.95,0.0001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7015454673617684,checkpoints/DOGE/DOGE_lr0.0001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0001_clip0.1_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.01,0.995,180,0.95,0.0001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7016225403072954,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.0,0.995,180,0.95,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7016286114283171,checkpoints/DOGE/DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.0,0.995,180,0.95,0.0003,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.0003_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.7021168104227334,checkpoints/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.0003_clip0.1_ent0.01_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.01,0.995,180,0.95,0.0003,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7026265793816288,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.0,0.995,180,0.95,0.001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1,0.7038374673715893,checkpoints/DOGE/DOGE_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.2_ent0.01_ep8_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.2,0.01,0.995,180,0.95,0.001,2000.0,20,0.1,8,256,1,buy,0.0,20000.0,999
