run_name,best_val_is_bps,ckpt,csv,batch_size_chunks,chunk_len,clip_eps,ent_coef,gamma,horizon_steps,lam,lr,max_child_qty,patience,pov_cap,ppo_epochs,rollout_episodes,seed,side,taker_fee_rate,target_qty,val_seed
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.9_seed1,0.6919377459920691,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.9_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.9_seed1.csv,16,32,0.1,0.05,0.99,180,0.9,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.9_seed1,0.6947425972587863,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.9_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.9_seed1.csv,16,32,0.1,0.05,0.995,180,0.9,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.95_seed1,0.6975577770773553,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.95_seed1.csv,16,32,0.1,0.05,0.995,180,0.95,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.95_seed1,0.6985329144801028,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.95_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.95_seed1.csv,16,32,0.1,0.05,0.99,180,0.95,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.97_seed3,0.6986039874853404,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.97_seed3/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.97_seed3.csv,16,32,0.1,0.05,0.99,180,0.97,0.001,2000.0,20,0.1,4,256,3,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.97_seed1,0.6986630003627673,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.97_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.99_lam0.97_seed1.csv,16,32,0.1,0.05,0.99,180,0.97,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.95_seed3,0.6989772481329478,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.95_seed3/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.95_seed3.csv,16,32,0.1,0.05,0.995,180,0.95,0.001,2000.0,20,0.1,4,256,3,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed1,0.6993259941177336,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.995_lam0.97_seed1.csv,16,32,0.1,0.05,0.995,180,0.97,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.97_seed1,0.7005531125392657,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.97_seed1/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.97_seed1.csv,16,32,0.1,0.05,0.999,180,0.97,0.001,2000.0,20,0.1,4,256,1,buy,0.0,20000.0,999
DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed3,0.7012105136548412,checkpoints/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed3/best.weights.h5,logs/DOGE/DOGE_lr0.001_clip0.1_ent0.05_ep4_bs16_cl32_gamma0.999_lam0.95_seed3.csv,16,32,0.1,0.05,0.999,180,0.95,0.001,2000.0,20,0.1,4,256,3,buy,0.0,20000.0,999
