iter,run_name,symbol,preset,base_ckpt,base_run_name,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,val_n_trials,val_episodes_per_trial,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,target_kl,seed,val_seed,rollout_trials,episodes_per_trial,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,454790,-3.670877533644749e-06,1776.5234375,-0.003883094462415621,0.0005018452271405849,1.5464915542701923e-05,0.8785344482499308,0.004839537324193811,0.04500060507767297,0.22912093014435544,0.022837970435140607,0.9999999999999842,-2.2837970435140237e-06,50,4,392.0328559875488,0.022837970435140607,0,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
2,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,448584,-3.7001993785765718e-06,1752.28125,-0.005536249802389648,-0.0011306897565636824,6.345016042670318e-06,0.881746528156068,0.004721359530128254,0.04269057286573902,0.24827563084189977,0.0226920879001107,0.9999999999999843,-2.2692087900110344e-06,50,4,399.468624830246,0.0226920879001107,0,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
3,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,464677,-3.925819279589396e-06,1815.14453125,-0.005304215691787674,-0.0007933655267244416,5.282087773720226e-06,0.9026982606066443,0.005543212593229424,0.04431168094532944,0.2562283442318634,0.02200984733804078,0.9999999999999849,-2.2009847338040445e-06,50,4,356.55120301246643,0.02200984733804078,0,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
4,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,444879,-3.8052443782263037e-06,1737.80859375,-0.004993504252600102,-0.0004250412840040667,6.183988583851641e-06,0.9143110134227889,0.005725522192456561,0.04603884042692402,0.26491776296265224,0.02107274085127547,0.9999999999999842,-2.107274085127514e-06,50,4,334.26675033569336,0.02107274085127547,0,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
5,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,450390,-3.7728667978284656e-06,1759.3359375,-0.004405834940543001,0.00025352921500143566,3.5128178882474147e-06,0.9322241355593388,0.005331399100425261,0.041859223184760305,0.2656405979663238,0.022088831394259642,0.9999999999999848,-2.208883139425931e-06,50,4,327.7688000202179,0.02107274085127547,1,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
6,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,481026,-3.82320224533046e-06,1879.0078125,-0.006431518609093948,-0.001781014544625688,2.7174424886414474e-06,0.9303725806564309,0.004860427459306038,0.041923379190426414,0.2582525520474124,0.02233814593238307,0.9999999999999843,-2.2338145932382725e-06,50,4,365.39562225341797,0.02107274085127547,2,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
7,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,459709,-3.842693651184601e-06,1795.73828125,-0.0034353308094137044,0.0012869633788328112,2.5899865824253783e-06,0.9447178571889995,0.004898761635713507,0.04208075447844765,0.27513589420115314,0.02170791295817149,0.9999999999999842,-2.1707912958171152e-06,50,4,326.0402901172638,0.02107274085127547,3,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
8,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,459474,-3.7983572203944875e-06,1794.8203125,-0.00965072159042734,-0.005004589791391468,5.075548362310141e-06,0.9297339391152458,0.0035696113769784254,0.044759434631410945,0.2555827149539512,0.022876839227459072,0.9999999999999847,-2.287683922745872e-06,50,4,387.56924080848694,0.02107274085127547,4,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
9,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,456099,-3.99086375137633e-06,1781.63671875,-0.0017364793567001273,0.0028528820159044,2.341914265435366e-06,0.9181064862851233,0.004243675993227441,0.039212209781316,0.28507327648715935,0.02214131666428588,0.9999999999999849,-2.214131666428554e-06,50,4,315.1600708961487,0.02107274085127547,5,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
10,RL2_BTC_BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2_trial4_rt64,BTC,BTC_PPO_1,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,437680,-3.932908480215227e-06,1709.6875,-0.0066887084847471745,-0.00219716384938126,4.932727303390274e-06,0.8988022195085735,0.0036774941710244055,0.04112628684648076,0.277734437051349,0.021878431876962735,0.9999999999999843,-2.1878431876962387e-06,50,4,333.2250711917877,0.02107274085127547,6,0.001,0.2,0.5,0.005,0.5,0.99,0.9,32,16,8,0.02,2,999,64,4,4320,buy,50.0,0.25,0.05,0.0
