iter,run_name,symbol,preset,base_ckpt,base_run_name,steps_collected,train_ep_mean_return,train_ep_mean_steps,loss_total,loss_pi,loss_v,entropy,approx_kl,clip_frac,grad_norm,val_mean_is_bps,val_mean_completion,val_mean_return,val_n_trials,val_episodes_per_trial,time_sec,best_val_is_bps,bad_iters,lr,clip_eps,vf_coef,ent_coef,max_grad_norm,gamma,lam,chunk_len,batch_size_chunks,ppo_epochs,target_kl,seed,val_seed,rollout_trials,episodes_per_trial,horizon_steps,side,target_qty,max_child_qty,pov_cap,taker_fee_rate
1,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.552331522337283e-09,4320.0,-0.009066994431109547,0.00017212542584780344,1.580773079228737e-05,0.9247023943466721,0.0014408383875922515,0.010279224537037036,0.11022237475090488,0.13427226384483168,0.00020832547362566658,-2.9543785666602694e-09,50,4,903.2478849887848,0.13427226384483168,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
2,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.505502975362639e-09,4320.0,-0.009237131038335738,0.00013932056863942072,7.757304336664106e-06,0.9380330484981338,0.0010211098855102642,0.00594482421875,0.1005689038740928,0.13165907053144027,0.00020786605921749995,-2.889004355579682e-09,50,4,907.2130312919617,0.13165907053144027,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
3,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6366067179795628e-09,4320.0,-0.009454315247475515,5.348608296858233e-05,5.802571529117879e-06,0.9510702842501578,0.0009844784434082814,0.005424669053819445,0.09891584997897519,0.1362703849374686,0.00021558150695016661,-3.095534978464858e-09,50,4,909.4682323932648,0.13165907053144027,1,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
4,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6808811614497315e-09,4320.0,-0.009642522544082668,5.155350116654989e-05,4.788540346197842e-06,0.9696470539533981,0.0008864414763525861,0.005488868995949074,0.10071236828457418,0.1297948991602422,0.00020808621405466666,-2.847965476928991e-09,50,4,909.7733180522919,0.1297948991602422,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
5,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5560512740409674e-09,4320.0,-0.009724165617026975,5.256023003447033e-05,4.23426255824395e-06,0.9778843199972201,0.000912761800443857,0.00404075339988426,0.09762418416374001,0.14100154226004938,0.0002157258644468333,-3.185214290970058e-09,50,4,908.2132947444916,0.1297948991602422,1,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
6,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.61546058963846e-09,4320.0,-0.009881459977434672,5.1328228026384884e-05,4.02217772177909e-06,0.99347995231273,0.0007557474308904839,0.003842502170138889,0.10325943237031525,0.12904791247468425,0.00020583263326099993,-2.8114349899726796e-09,50,4,898.8218922615051,0.12904791247468425,0,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
7,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.6128235511696707e-09,4320.0,-0.010030990562248647,5.931488174408312e-05,3.6144028422208304e-06,1.0092112866471763,0.0007680732398714301,0.004015661168981482,0.10282659336452424,0.12921486227502918,0.00020494107633633324,-2.792104463616671e-09,50,4,906.7025170326233,0.12904791247468425,1,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
8,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.513127322751985e-09,4320.0,-0.010138607300285474,4.718351088673377e-05,3.2154065485389003e-06,1.0187398728673105,0.0007227097006425201,0.003930890118634259,0.0985770872588209,0.1371554815890857,0.00021691201323649996,-3.1382873164314324e-09,50,4,908.4408390522003,0.12904791247468425,2,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
9,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5493811490840501e-09,4320.0,-0.010254774687982044,4.0194308072656254e-05,3.1376850352511284e-06,1.0296538063497456,0.0007351188236498274,0.003414351851851852,0.09883605709549523,0.13261033576032624,0.0002080030575218332,-2.9041457370862937e-09,50,4,910.9100260734558,0.12904791247468425,3,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
10,RL2_DOGE_DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0_trial4_rt64,DOGE,DOGE_PPO_1,checkpoints/DOGE/DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0/best.weights.h5,DOGE_S2B1_lr0.0003_clip0.2_ent0.01_ep4_bs16_cl32_gamma0.999_lam0.95_seed1_H4320_Q3e+06_pov0.1_fee0,1105920,-1.5207368130825331e-09,4320.0,-0.01049162407089844,1.5821482109593624e-05,2.765641960911225e-06,1.050882859169333,0.0007961559642690527,0.004875804759837963,0.09847750777079016,0.13920826028554045,0.0002163939502869999,-3.169507973317105e-09,50,4,909.6188700199127,0.12904791247468425,4,0.0003,0.2,0.5,0.01,0.5,0.999,0.95,32,16,4,0.02,1,999,64,4,4320,buy,3000000.0,3500.0,0.1,0.0
