asset,scenario_name,target_qty,horizon_steps,max_child_qty,pov_cap,side,policy_name,day_name,day_path,start_idx,steps_used,episode_return,filled_total,exec_vwap,arrival_mid,cost_cash_vs_mid,remaining_qty,completion,completion_100pct,terminated_at_horizon,is_bps,run_name,ckpt,episode_id
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-11_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-11_steps_5s.parquet,2088,4320,-7.083852030599887e-07,64.38009996651166,90721.07760465296,90695.55,6.424738560338737,35.619900033488655,0.6438009996651166,0.0,1.0,0.007083852030599888,TWAP,,0
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-30_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-30_steps_5s.parquet,5511,4320,-1.965682455296243e-06,82.39302558211642,82714.00271904499,82580.75,16.232753142020517,17.60697441788344,0.8239302558211642,0.0,1.0,0.019656824552962422,TWAP,,1
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-31_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-31_steps_5s.parquet,11812,4320,-5.216065792575274e-06,97.26843861317705,78420.11003310146,81902.25,42.720752455995,2.7315613868228255,0.9726843861317706,0.0,1.0,0.05216065792575295,TWAP,,2
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-15_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-15_steps_5s.parquet,3234,4320,-7.025921907720091e-07,66.14556399533657,96590.72517148026,96224.35,6.760647687211252,33.85443600466341,0.6614556399533658,0.0,1.0,0.007025921907720085,TWAP,,3
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-17_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-17_steps_5s.parquet,10735,4320,-7.485535184741478e-07,51.60810882057992,95381.76518946738,95418.65,7.142596618555319,48.39189117942045,0.5160810882057992,0.0,1.0,0.007485535184741472,TWAP,,4
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-31_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-31_steps_5s.parquet,11851,4320,-5.313645927155128e-06,97.01947195887621,78392.59100876052,81232.85,43.16426025537013,2.980528041123725,0.9701947195887621,0.0,1.0,0.053136459271551015,TWAP,,5
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-31_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-31_steps_5s.parquet,5721,4320,-1.6192395292118948e-06,55.924795645024865,82951.70061204472,83534.55,13.526244541492739,44.075204354975305,0.5592479564502486,0.0,1.0,0.016192395292118935,TWAP,,6
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-18_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-18_steps_5s.parquet,6426,4320,-4.000730315015111e-07,57.726002139173175,95144.76184015964,95180.15,3.8079011149268656,42.27399786082682,0.5772600213917317,0.0,1.0,0.004000730315015122,TWAP,,7
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-10_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-10_steps_5s.parquet,4690,4320,-5.546050578958489e-07,54.25555192597802,90726.41611112504,90542.25,5.0215189803270555,45.74444807402171,0.5425555192597802,0.0,1.0,0.005546050578958504,TWAP,,8
BTC,btc_q100,100.0,4320,0.25,0.05,buy,TWAP,2026-01-24_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-24_steps_5s.parquet,3650,4320,-4.930658690544583e-07,51.71183386736325,89647.85035290201,89829.05,4.429163860458639,48.288166132636974,0.5171183386736324,0.0,1.0,0.004930658690544583,TWAP,,9
BTC,btc_q100,100.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-11_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-11_steps_5s.parquet,2088,1452,-9.303007937034843e-07,99.99999999999909,90711.07767994229,90695.55,8.437414215037391,9.486649874750993e-13,0.9999999999999909,1.0,0.0,0.009303007937034828,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,0
BTC,btc_q100,100.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-30_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-30_steps_5s.parquet,5511,3223,-2.8165992764660182e-06,99.99999999999963,82661.61954099951,82580.75,23.25968807000229,7.077707424616112e-13,0.9999999999999963,1.0,0.0,0.0281659927646604,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,1
BTC,btc_q100,100.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-31_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-31_steps_5s.parquet,11812,1065,-2.317811373922522e-05,99.99999999999906,79774.00174462383,81902.25,189.83396659984615,9.756154381576841e-13,0.9999999999999907,1.0,0.0,0.23178113739225253,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,2
BTC,btc_q100,100.0,4320,0.25,0.05,buy,BTC_PPO_1,2026-01-15_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_BTC/January/2026-01-15_steps_5s.parquet,3234,3318,-2.0792740546011133e-06,99.99999999999915,96393.45756892346,96224.35,20.00767943758567,8.259036876339993e-13,0.9999999999999915,1.0,0.0,0.02079274054601114,BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2,checkpoints/BTC/BTC_S2B3_lr0.001_clip0.2_ent0.005_ep8_bs16_cl32_gamma0.99_lam0.9_seed2/best.weights.h5,3
