asset,scenario_name,target_qty,horizon_steps,max_child_qty,pov_cap,side,policy_name,day_name,day_path,start_idx,steps_used,episode_return,filled_total,exec_vwap,arrival_mid,cost_cash_vs_mid,remaining_qty,completion,completion_100pct,terminated_at_horizon,is_bps,run_name,ckpt,episode_id
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-29_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-29_steps_5s.parquet,5081,4320,-5.949925770722839e-05,9336555.319369238,0.12144378598374819,0.122195,87.24614154641687,2663444.680630755,0.7780462766141032,0.0,1.0,0.594992577072281,TWAP,,0
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-25_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-25_steps_5s.parquet,6643,4320,-8.179713110879715e-05,10027450.420339473,0.12303108481229467,0.122725,120.46263498392705,1972549.5796605768,0.8356208683616227,0.0,1.0,0.8179713110879815,TWAP,,1
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-28_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-28_steps_5s.parquet,11486,4320,-8.99491451677834e-05,8678849.588042855,0.12499586709791195,0.12465999999999999,134.55672523939066,3321150.4119571815,0.723237465670238,0.0,1.0,0.8994914516778347,TWAP,,2
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-31_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-31_steps_5s.parquet,1579,4320,-8.264568195228775e-05,9632708.076513551,0.11453413778603938,0.11522,114.26922569451108,2367291.923486502,0.802725673042796,0.0,1.0,0.8264568195228772,TWAP,,3
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-23_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-23_steps_5s.parquet,3876,4320,-9.402415141003179e-05,9938985.01356472,0.1251218244709261,0.12556499999999998,141.67371086160682,2061014.9864352394,0.8282487511303934,0.0,1.0,0.9402415141003122,TWAP,,4
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-26_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-26_steps_5s.parquet,6599,4320,-6.0227698375053504e-05,9212434.83684084,0.12143760390437355,0.121395,87.73609733087545,2787565.1631591627,0.76770290307007,0.0,1.0,0.6022769837505351,TWAP,,5
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-09_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-09_steps_5s.parquet,2723,4320,-5.013498548415175e-05,8399854.413480263,0.1422164176759492,0.142955,86.00456219864266,3600145.5865197615,0.699987867790022,0.0,1.0,0.5013498548415157,TWAP,,6
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-29_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-29_steps_5s.parquet,4263,4320,-8.884999394049377e-05,9958975.004074821,0.12162345014477145,0.121865,129.93245413869806,2041024.9959251909,0.8299145836729017,0.0,1.0,0.8884999394049293,TWAP,,7
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-19_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-19_steps_5s.parquet,1176,4320,-5.3303938205646454e-05,8412648.243956812,0.12709041152780629,0.127355,81.4622766021613,3587351.7560431813,0.7010540203297343,0.0,1.0,0.5330393820564648,TWAP,,8
DOGE,doge_q1p2e+07,12000000.0,4320,3500.0,0.1,buy,TWAP,2026-01-21_steps_5s.parquet,/Users/jackfletcher/Desktop/FYP_Data/Replay_5s_DOGE/January/2026-01-21_steps_5s.parquet,8839,4320,-9.957671849737105e-05,7758554.381273901,0.12346139602304403,0.12219,146.00735079832543,4241445.618726085,0.6465461984394918,0.0,1.0,0.9957671849737119,TWAP,,9
